Cycle Number,State of Health (SoH),State of Charge (SoC),Temperature (°C),Voltage (V),Current (A),Charge Time (hrs),Discharge Time (hrs)
1,0.9997501839524611,18.513292883861965,33.54752368445895,387.29458358764083,159.83373296143418,1.7098417217921746,2.976350100132152
2,0.9992698982298971,69.22765645178525,41.22989128913298,324.9668008859186,123.41374454647107,0.8318141627294033,3.963004023989941
3,0.9988771006531725,94.40593396866133,20.98567028421265,370.5575172515688,188.7872476123499,0.7708630176910003,2.7038356916578885
4,0.9985376372594936,91.54882975880419,20.84864946464497,369.742026724684,94.6023511058826,1.8865942930647956,3.9131747354961033
5,0.9983752298033166,94.42664891134339,31.855355416436595,386.20426509893133,176.68240978026057,0.9786507098648835,3.486746422452032
6,0.9982128319951822,3.700763471549262,34.90674696205133,323.0008837287703,68.08503286659182,0.6154298024438137,3.0888663276344195
7,0.9980895985503149,33.98749637680661,38.11916928821904,306.53563407989424,97.29355067459156,1.3092369385630058,3.3721694945168905
8,0.997643128092005,31.875250293206992,35.647284410925224,388.5977748236187,142.3794782273457,0.8494392121304506,1.073202344669614
9,0.9973026820873077,87.00988739009298,20.531735271259677,387.4701672684199,129.3405701040818,1.9086015477693443,3.3963497073209963
10,0.9969194530561892,99.79341105333374,28.767795386292754,376.7188288931127,110.28963704138633,1.2198134304558632,2.8825163896551103
11,0.9968112192584709,87.36771141863387,44.602086729982375,376.82734138645185,112.66501732510007,1.1320355034156053,3.2127469047666746
12,0.9963232553176061,23.877714576830233,22.761852828284866,335.46221576407765,93.08584874811226,0.9444621806839851,1.7008232531497298
13,0.995890278261286,4.209318963636188,20.446848368335345,398.7722389736032,114.16597006037935,1.0764899707395226,3.0389418480792094
14,0.9957053426170146,21.825388786506416,43.749029598755634,378.6345014415552,63.411650346838925,1.1263711636773925,3.637354922686494
15,0.9955326126301317,94.47320222914102,31.68503778124674,361.34113892107075,75.05509191381128,1.9867529392054648,1.6950151041503303
16,0.9953592508261904,94.27317741351257,36.24116622480921,360.77367948788594,126.9032766524763,0.8460047175766381,1.5295840960165248
17,0.9951375539290066,22.048620907017536,24.66095655360636,377.9584473566753,102.5187888750095,0.5867640148450946,3.907307890422434
18,0.9948276513563538,88.37858849634257,43.19380707988032,399.49078226464354,76.0842873829231,1.094363028353988,3.274715427112274
19,0.9945548733488969,69.60206180537922,23.847397658496376,381.5833124990618,83.6660857754991,0.8357264222339347,2.610923268680241
20,0.9943383816928177,59.293993484170315,34.50215519594528,309.1486837397755,181.61912939455706,0.8984000638830592,1.3885447638484125
21,0.9939936405349288,88.87480798689772,43.891287455743836,386.21276172654507,171.4274112087317,1.4828629709585326,2.6525721118274177
22,0.9938378429906679,8.698675991141014,30.211330326767467,337.26885170123137,88.96306756404894,1.5851301705328775,2.487627205236312
23,0.9936209851312539,8.104621590764793,25.504580048745282,368.3258763659596,61.41962892354503,1.776810371073153,2.485439581041923
24,0.9933744403939364,48.0586577326648,34.81019461648794,382.46809659251494,102.17138118532895,1.5170242288385953,2.697195891987373
25,0.9930920124002496,26.70282701694213,41.96574965887895,379.7426021606928,148.76777519876384,1.7758725936413629,3.601882602879407
26,0.9926779420156924,70.83629767150347,40.925333209091804,369.74714616692836,152.02111576404508,1.4279170673227766,3.258149918672924
27,0.9924980725028291,15.86051052930737,42.02176897997321,387.1843527745232,54.387092455183875,1.738725125847144,1.3866096024203356
28,0.9921923787274636,33.51188542591419,38.5877064072902,316.0759896048308,172.69505361785934,1.748201266936613,2.5224032012825086
29,0.9918554128999187,0.638587171683358,27.17595332937282,361.6926918375742,197.17792670411353,1.4477202905250026,1.7794107431924795
30,0.9917368327348307,63.40057030996113,33.49963449289639,377.98453951511436,66.04709582404377,1.641541853753042,2.6237997360283307
31,0.9913938147940702,96.29920038589947,28.54680415096715,363.2621893133948,189.80421582650263,0.6537645919860189,3.811685461709353
32,0.9912256051445952,68.78857223008133,21.695926477629296,330.0963566946816,156.22581329679224,0.6010259022031575,2.74651138052882
33,0.9910995845074011,34.588305695295674,35.52288794418693,304.57420338125127,180.73052092285644,1.9602334537660955,3.9066335658570743
34,0.9906200302924998,74.96518317429248,23.2521560032658,375.8263195929022,53.68803746882023,0.5331853272934959,1.9708306574486238
35,0.99013377747927,48.864319040466576,39.26018544519483,368.32953766065054,116.88540595651224,0.9104399994224988,3.9913735004731334
36,0.9897104185400234,42.6181302235973,31.284675608241887,316.3623821191669,169.2214323124894,1.540523338672233,1.6623088383662812
37,0.989488573032354,8.238104561584269,37.012482551867826,365.45112142811354,90.9889290497314,1.9262953433756156,1.4531736753427007
38,0.9893495041867515,43.23348010426019,43.59039800418997,341.97273169261223,145.77889214961283,1.0963915969441915,1.82264560704601
39,0.9889758109761466,98.39776479598282,30.233350157876075,389.40992036791346,84.49319088366292,0.819657056037625,1.093402248653534
40,0.9886997499786507,65.1666825375885,29.21315859309403,386.4358249839637,120.98148600373358,1.9522901418720826,1.5565765471093633
41,0.9885509346847128,86.86231679556109,39.41492131979354,377.0921844644052,176.71748421753315,1.6415359864144983,2.8786609648942463
42,0.9882528639206682,13.124487768238758,20.8131544872813,392.0847847815687,142.49754717811072,1.6948059364642645,2.44456705453765
43,0.9881391085122222,11.730818896239448,23.129644805063762,368.55652872289716,114.5458842349194,0.8007870900505051,2.4747836402243104
44,0.9876753803513907,6.420893707513409,34.54928504785997,326.89934044350974,169.63386509557824,0.9655429383853606,2.3656604472454035
